date,Adj Close,Close,High,Low,Open,Volume
25-08-2022,38950.29688,38950.75,39471.75,38803.69922,39190.05078,333400
26-08-2022,38986.69531,38987.14844,39337.10156,38846.80078,39129.64844,196300
29-08-2022,38276.25391,38276.69922,38397.10156,37943.85156,38111.60156,158000
30-08-2022,39536.28906,39536.75,39606.55078,38472.69922,38516.94922,176800
01-09-2022,39300.79297,39301.25,39667.64844,38803.30078,38806.69922,191200
02-09-2022,39420.54297,39421,39595.85156,39200.44922,39422.30078,133900
05-09-2022,39805.28906,39805.75,39865.19922,39407.39844,39412.05078,214100
06-09-2022,39666.03906,39666.5,40073.75,39564.30078,39892.94922,210200
07-09-2022,39455.44141,39455.89844,39572.05078,39258.25,39337.75,138900
08-09-2022,40208.48047,40208.94922,40265.75,39706.39844,39763.89844,203800
09-09-2022,40415.23047,40415.69922,40685.94922,40280.30078,40520.75,207000
12-09-2022,40573.52734,40574,40684.89844,40377.89844,40540.44922,147000
13-09-2022,40872.625,40873.10156,40904.30078,40693.94922,40802.10156,176400
14-09-2022,41404.91797,41405.39844,41626.89844,40288.89844,40308.80078,218400
15-09-2022,41208.71875,41209.19922,41840.14844,41153.5,41533.69922,245300
16-09-2022,40776.32813,40776.80078,41162.5,40502.05078,40977.19922,244200
19-09-2022,40903.92188,40904.39844,41184.25,40509.89844,40685.60156,206000
20-09-2022,41467.82031,41468.30078,41677.64844,41207.30078,41304.14844,175200
21-09-2022,41202.96875,41203.44922,41501.69922,40889.14844,41282.60156,151300
22-09-2022,40630.12891,40630.60156,41159.19922,40360.19922,40889.05078,209500
23-09-2022,39545.78906,39546.25,40528.39844,39412.69922,40429.35156,226200
26-09-2022,38615.80078,38616.25,39229.39844,38492.19922,39027.85156,241800
27-09-2022,38358.70313,38359.14844,39050.5,38184.89844,38811.69922,168700
28-09-2022,37759.41406,37759.85156,38368.80078,37626.19922,38081.25,210600
29-09-2022,37647.3125,37647.75,38283.39844,37536.64844,38092.85156,253000
30-09-2022,38631.5,38631.94922,38811,37386.35156,37660,246100
03-10-2022,38029.20703,38029.64844,38641.60156,37963.25,38444.89844,172900
04-10-2022,39109.59766,39110.05078,39177.5,38596.89844,38700.39844,241100
06-10-2022,39282.39453,39282.85156,39608.35156,39232.89844,39343.69922,158800
07-10-2022,39177.59375,39178.05078,39235.05078,38807.5,39093.5,165000
10-10-2022,39092.64844,39093.10156,39315.69922,38518.30078,38641.55078,159700
11-10-2022,38712,38712.44922,39174.94922,38622.75,39058.85156,177600
12-10-2022,39118.09766,39118.55078,39164.10156,38606.39844,38784.19922,195800
13-10-2022,38623.55078,38624,39061.30078,38437.94922,38957.64844,158900
14-10-2022,39305.14453,39305.60156,39570.85156,39196.30078,39446.05078,185600
17-10-2022,39919.98438,39920.44922,39974.69922,39146.69922,39295.60156,201600
18-10-2022,40318.28125,40318.75,40435.35156,40139.85156,40252.05078,245200
19-10-2022,40372.73047,40373.19922,40643.60156,40195.19922,40556.64844,232900
20-10-2022,40099.08594,40099.55078,40208.35156,39848.85156,40149.5,262800
21-10-2022,40783.57813,40784.05078,41032.25,40355.44922,40370.75,324200
24-10-2022,41304.41797,41304.89844,41427.25,41201.14844,41348.35156,74300
